,line_id,Lineage
0,ACH-000001,Ovary/Fallopian Tube
1,ACH-000013,Ovary/Fallopian Tube
2,ACH-000103,Ovary/Fallopian Tube
3,ACH-000116,Ovary/Fallopian Tube
4,ACH-000132,Ovary/Fallopian Tube
5,ACH-000256,Ovary/Fallopian Tube
6,ACH-000278,Ovary/Fallopian Tube
7,ACH-000409,Ovary/Fallopian Tube
8,ACH-000430,Ovary/Fallopian Tube
9,ACH-000443,Ovary/Fallopian Tube
10,ACH-000520,Ovary/Fallopian Tube
11,ACH-000524,Ovary/Fallopian Tube
12,ACH-000542,Ovary/Fallopian Tube
13,ACH-000574,Ovary/Fallopian Tube
14,ACH-000584,Ovary/Fallopian Tube
15,ACH-000617,Ovary/Fallopian Tube
16,ACH-000635,Ovary/Fallopian Tube
17,ACH-000696,Ovary/Fallopian Tube
18,ACH-000713,Ovary/Fallopian Tube
19,ACH-001151,Ovary/Fallopian Tube
20,ACH-001628,Ovary/Fallopian Tube
21,ACH-002140,Ovary/Fallopian Tube
22,ACH-002183,Ovary/Fallopian Tube
23,ACH-000002,Myeloid
24,ACH-000084,Myeloid
25,ACH-000218,Myeloid
26,ACH-000557,Myeloid
27,ACH-000003,Bowel
28,ACH-000007,Bowel
29,ACH-000009,Bowel
30,ACH-000089,Bowel
31,ACH-000202,Bowel
32,ACH-000236,Bowel
33,ACH-000249,Bowel
34,ACH-000252,Bowel
35,ACH-000253,Bowel
36,ACH-000296,Bowel
37,ACH-000342,Bowel
38,ACH-000350,Bowel
39,ACH-000360,Bowel
40,ACH-000381,Bowel
41,ACH-000400,Bowel
42,ACH-000403,Bowel
43,ACH-000412,Bowel
44,ACH-000467,Bowel
45,ACH-000489,Bowel
46,ACH-000491,Bowel
47,ACH-000501,Bowel
48,ACH-000552,Bowel
49,ACH-000651,Bowel
50,ACH-000680,Bowel
51,ACH-000710,Bowel
52,ACH-000722,Bowel
53,ACH-000798,Bowel
54,ACH-000820,Bowel
55,ACH-000842,Bowel
56,ACH-000895,Bowel
57,ACH-000926,Bowel
58,ACH-000935,Bowel
59,ACH-000943,Bowel
60,ACH-000950,Bowel
61,ACH-000955,Bowel
62,ACH-000957,Bowel
63,ACH-000958,Bowel
64,ACH-000959,Bowel
65,ACH-000963,Bowel
66,ACH-000967,Bowel
67,ACH-000969,Bowel
68,ACH-000970,Bowel
69,ACH-000971,Bowel
70,ACH-000982,Bowel
71,ACH-000985,Bowel
72,ACH-000986,Bowel
73,ACH-000991,Bowel
74,ACH-000997,Bowel
75,ACH-000998,Bowel
76,ACH-000999,Bowel
77,ACH-001039,Bowel
78,ACH-001061,Bowel
79,ACH-001081,Bowel
80,ACH-001199,Bowel
81,ACH-001345,Bowel
82,ACH-001399,Bowel
83,ACH-001454,Bowel
84,ACH-001458,Bowel
85,ACH-001460,Bowel
86,ACH-001786,Bowel
87,ACH-002538,Bowel
88,ACH-002539,Bowel
89,ACH-002543,Bowel
90,ACH-002654,Bowel
91,ACH-002660,Bowel
92,ACH-002662,Bowel
93,ACH-002667,Bowel
94,ACH-002669,Bowel
95,ACH-002886,Bowel
96,ACH-000004,Myeloid
97,ACH-000195,Myeloid
98,ACH-000387,Myeloid
99,ACH-000487,Myeloid
100,ACH-001684,Myeloid
101,ACH-002644,Myeloid
102,ACH-000005,Myeloid
103,ACH-000006,Myeloid
104,ACH-000034,Myeloid
105,ACH-000045,Myeloid
106,ACH-000065,Myeloid
107,ACH-000081,Myeloid
108,ACH-000113,Myeloid
109,ACH-000146,Myeloid
110,ACH-000166,Myeloid
111,ACH-000190,Myeloid
112,ACH-000198,Myeloid
113,ACH-000263,Myeloid
114,ACH-000299,Myeloid
115,ACH-000336,Myeloid
116,ACH-000362,Myeloid
117,ACH-000369,Myeloid
118,ACH-000373,Myeloid
119,ACH-000386,Myeloid
120,ACH-000406,Myeloid
121,ACH-000439,Myeloid
122,ACH-000498,Myeloid
123,ACH-000602,Myeloid
124,ACH-000751,Myeloid
125,ACH-000770,Myeloid
126,ACH-001574,Myeloid
127,ACH-001577,Myeloid
128,ACH-001613,Myeloid
129,ACH-001618,Myeloid
130,ACH-001647,Myeloid
131,ACH-001656,Myeloid
132,ACH-002218,Myeloid
133,ACH-002258,Myeloid
134,ACH-002273,Myeloid
135,ACH-002290,Myeloid
136,ACH-002299,Myeloid
137,ACH-002651,Myeloid
138,ACH-002668,Myeloid
139,ACH-002675,Myeloid
140,ACH-002709,Myeloid
141,ACH-002946,Myeloid
142,ACH-002994,Myeloid
143,ACH-003273,Myeloid
144,ACH-000008,Skin
145,ACH-000014,Skin
146,ACH-000219,Skin
147,ACH-000274,Skin
148,ACH-000304,Skin
149,ACH-000322,Skin
150,ACH-000348,Skin
151,ACH-000425,Skin
152,ACH-000441,Skin
153,ACH-000450,Skin
154,ACH-000458,Skin
155,ACH-000465,Skin
156,ACH-000477,Skin
157,ACH-000550,Skin
158,ACH-000572,Skin
159,ACH-000579,Skin
160,ACH-000580,Skin
161,ACH-000582,Skin
162,ACH-000614,Skin
163,ACH-000650,Skin
164,ACH-000661,Skin
165,ACH-000676,Skin
166,ACH-000750,Skin
167,ACH-000765,Skin
168,ACH-000788,Skin
169,ACH-000799,Skin
170,ACH-000801,Skin
171,ACH-000812,Skin
172,ACH-000814,Skin
173,ACH-000822,Skin
174,ACH-000827,Skin
175,ACH-000882,Skin
176,ACH-000884,Skin
177,ACH-000899,Skin
178,ACH-000931,Skin
179,ACH-000968,Skin
180,ACH-001024,Skin
181,ACH-001041,Skin
182,ACH-001190,Skin
183,ACH-001239,Skin
184,ACH-001522,Skin
185,ACH-001563,Skin
186,ACH-001566,Skin
187,ACH-001567,Skin
