,line_id,OncotreeSubtype
0,ACH-000001,High-Grade Serous Ovarian Cancer
1,ACH-000002,AML with Myelodysplasia-Related Changes
2,ACH-000003,Colon Adenocarcinoma
3,ACH-000004,"AML, NOS"
4,ACH-000005,Acute Myeloid Leukemia
5,ACH-000006,Acute Myeloid Leukemia
6,ACH-000007,Colon Adenocarcinoma
7,ACH-000008,Melanoma
8,ACH-000009,Colon Adenocarcinoma
9,ACH-000011,Bladder Urothelial Carcinoma
10,ACH-000012,Lung Adenocarcinoma
11,ACH-000013,High-Grade Serous Ovarian Cancer
12,ACH-000014,Melanoma
13,ACH-000015,Large Cell Lung Carcinoma
14,ACH-000016,Renal Clear Cell Carcinoma
15,ACH-000017,Invasive Breast Carcinoma
16,ACH-000018,Bladder Urothelial Carcinoma
17,ACH-000019,Invasive Breast Carcinoma
18,ACH-000020,B-Cell Acute Lymphoblastic Leukemia
19,ACH-000021,Lung Adenocarcinoma
20,ACH-000022,Pancreatic Adenocarcinoma
21,ACH-000023,Pancreatic Adenocarcinoma
22,ACH-000024,Plasma Cell Myeloma
23,ACH-000025,Meningioma
24,ACH-000026,Bladder Urothelial Carcinoma
25,ACH-000027,Glioblastoma
26,ACH-000028,Invasive Breast Carcinoma
27,ACH-000029,Lung Adenocarcinoma
28,ACH-000030,Lung Adenocarcinoma
29,ACH-000031,Pancreatic Adenocarcinoma
30,ACH-000032,B-Cell Acute Lymphoblastic Leukemia
31,ACH-000033,Lung Adenocarcinoma
32,ACH-000034,Acute Myeloid Leukemia
33,ACH-000035,Non-Small Cell Lung Cancer
34,ACH-000036,Glioblastoma
35,ACH-000037,"Sarcoma, NOS"
36,ACH-000038,"Transformed cell line, B lymphoblast"
37,ACH-000039,Ewing Sarcoma
38,ACH-000040,Astrocytoma
39,ACH-000041,Ewing Sarcoma
40,ACH-000042,Pancreatic Adenocarcinoma
41,ACH-000043,"Fibroblast, Skin"
42,ACH-000044,Breast Invasive Lobular Carcinoma
43,ACH-000045,Acute Myeloid Leukemia
44,ACH-000046,Papillary Renal Cell Carcinoma
45,ACH-000047,Stomach Adenocarcinoma
46,ACH-000048,Endometrioid Ovarian Cancer
47,ACH-000049,Immortalized Embyonic Kidney Cells
48,ACH-000050,Plasma Cell Myeloma
49,ACH-000051,Rhabdomyosarcoma
50,ACH-000052,Ewing Sarcoma
